"";"Title";"N.Article";"Authors";"Year";"Document.Type";"Source.Title";"Language";"Authors.Keywords";"Abstract";"ISSN";"Cited.by";"Publisher.Country";"Source"
"1";"A comparative case study of 2D, 3D and immersive-virtual-reality applications for healthcare education";69;"López Chávez O., Rodríguez L.-F., Gutierrez-Garcia J.O.,";2020;"Article";"International Journal of Medical Informatics";"English";"Comparative case study; Healthcare education; Virtual reality";"Background and objective: The workings of medical educational tools are implemented using a myriad of approaches ranging from presenting static content to immersing students in gamified virtual-reality environments. The objective of this paper is to explore whether and how different approaches for designing medical educational tools affect students’ learning performance. Materials and methods: Four versions of an educational tool for the study of clinical cases were implemented: a 2D version, a gamified 2D version, a gamified 3D version, and a gamified immersive-virtual-reality version. All complying with the same functional requirements. Each version was used and evaluated by an independent group of students. The participants (n = 78) evaluated the applications regarding usefulness, usability, and gamification. Afterward, the students took an exam to assess the retention of information on the clinical cases presented. Results: One-sample Wilcoxon signed-rank tests confirmed that the participants perceived that it was at least quite likely that gamification helped improved their learning. In addition, based on the participants’ perception, the gamification of the immersive-virtual-reality version helped the most to improve their learning performance in comparison with the gamified 2D and 3D versions. Conclusions: Regardless of whether different versions of a medical educational tool (complying with the same functional requirements) are perceived as equally useful and usable, the design approach (either 2D, 3D, or immersive-virtual-reality with or without gamification) affects students’ retention of information on clinical cases. © 2020 Elsevier B.V.";"13865056";3;"Mexico";"Scopus; Web of Science"
"2";"A comparative study about mobile learning in Iberian Peninsula Universities: Are professors ready?";543;"Moreira F., Pereira C.S., Durão N., Ferreira M.J.,";2018;"Article";"Telematics and Informatics";"English";"Higher Education Institutions; Iberian Peninsula; Mobile learning; Mobile technology; Professors";"Mobile technology is increasingly an element to be considered a paradigm that is changing in education in general, and in higher education in particular. In addition, computers and information technology have increased educational opportunities and have opened the way to new teaching/learning approaches. Due to this, several concepts from the e-learning, m-learning and u-learning appeared. Therefore, it is critical to understand whether users (students and professors) are receptive and aware to adapt to this new paradigm before deciding to implement teaching learning methods based on mobile technology. Thus, it is necessary to make a fundamental question “How do professors percept m-leaning?” In this context, the aim of this paper is to investigate the perception of higher education professors in Portugal and Spain (Iberian Peninsula) regarding the m-learning, and to identify the needs of professors as they relate to mobile technologies and how they can be used to promote student's engagement inside and outside of the classroom. The main results obtained allow us to conclude that the majority of Iberian Peninsula professors have knowledge on how to perform the most trivial task with mobile devices and a high results about the utilization of both augmented reality and gamification applications. © 2017 Elsevier Ltd";"07365853";8;"Portugal";"Scopus; Web of Science"
"3";"A comparative study on gamification of the flipped classroom in engineering education to enhance the effects of learning";529;"Jo J., Jun H., Lim H.,";2018;"Article";"Computer Applications in Engineering Education";"English";"e-assessment; flipped learning; gamification; online education";"This study analyzes the effectiveness of adding educational gaming elements into the online lecture system of the flipped classroom as a method to increase participation and interest in online preparation before class. This study held an “understanding sequence” for 20 classes during the 7-week automation equipment class with 30 s year high school students in Incheon's specialized technical high school as target. After the class, the learning attitude of learners was measured through surveys and in-depth interviews. As a result, first, it was found that the degree of preparation participation in flip learning using gaming elements had a statistically significant increase from 65.56% to 78.89%, compared with the traditional flip learning using YouTube. Second, comparing the academic achievements showed a diagnostic assessment of 57.44 before applying the gaming elements and 20.17 after the application. However, for summative assessment, the degree after applying gaming elements was statistically higher at 84.52 than the degree before application, which was 78.86. Third, comparing academic achievement with word game results showed no significant correlation, and it is judged that all students were able to enjoy word games, regardless of their grades. Also, when the average word game scores were compared based on students’ grades, mid-upper level students had statistically significant higher scores than upper level students. Lastly, analysis on the correlation between attitude and word game showed that there is a quantitatively high correlation between the ranking system's competitive spirit and interest. The ranking system increased competitive spirit, as well as interest. © 2018 Wiley Periodicals, Inc.";"10613773";20;"South Korea";"Scopus; Web of Science"
"4";"A Conceptual Engagement Framework for Gamified E-Learning Platform Activities";221;"Alsubhi M.A., Sahari N.,";2020;"Article";"International Journal of Emerging Technologies in Learning";"English";"activities; e-learning; engagement; game elements; gamification";"University students utilize e-learning resources to gain access to information and to make general enquiries. Such online environments offer alternatives to traditional learning, which is now considered expensive, and time-consuming with varying results. Student disengagement is reported as the main problem for higher education e-learning platforms. E-learning developers employ Gamification to counteract this issue. A plethora of game elements are used in the gamification of e-learning. On the other hand, there are various learning activities used in e-learning platforms. Based on a literature-based analysis, this study thus identifies several game elements suitable for inclusion in learning activities in e-learning platforms to improve student engagement. This identified the most commonly used game elements, and a subsequent questionnaire survey examined real user perspectives on these elements. As a result, a conceptual engagement framework outlining how game elements might be used to support e-learning activities to engage students is proposed. The framework is intended to be used as a guideline for developers and academics seeking to build engaging e-learning systems based on good foundational concepts. The paper thus presents a short review of existing e-learning gamification frameworks and the steps taken towards the identification of commonly used game elements. Learning activities and student engagement factors usually employed in e-learning platforms are subsequently discussed in relation to the development of the proposed conceptual engagement framework for gamified e-learning activities. © 2020. iJET. All Rights Reserved.";"18688799";NA;"Malaysia";"Scopus; Web of Science"
"5";"A description of gamification in teaching second language pharmacy technician students";463;"Fogarty T.,";2019;"Article";"Pharmacy Education";"English";"Acquiring Terminology; Game Development; Low Language Proficiency";"Introduction: Students whose first language is not the language of instruction struggle to master health science terminology in their first few years in higher education. In addition, the funding available to higher education institutions is diminishing. Educators have had to become creative in their teaching techniques to assist learners with low proficiency in the language of instruction. Description of innovation: A cost effective board game was developed to assist learners in a pharmacy technician programme to master pharmacy practice terminology. Evaluation: The game kept students engaged and motivated and several observations were made with respect to further game development. Recommendations: A five step process was developed to guide further development of low cost games for use in the classroom that can be used regardless of the learning objective. The five steps are: Plan, Prepare, Pilot, Play, and Perform. © 2019 FIP. All Rights Reserved.";"15602214";2;"South Africa";"Scopus; Web of Science"
"6";"A Game Show-Based Curriculum for Teaching Principles of Reproductive Infectious Disease (GBS PRIDE Trial)";40;"Butler S.K., Runge M.A., Milad M.P.,";2020;"Article";"Southern Medical Journal";"English";"game-based learning; gamification; graduate medical education; obstetrics and gynecology; reproductive infectious disease";"Objectives The purpose of this study was to evaluate whether a game show-based curriculum improves obstetrics and gynecology (OBGYN) residents' confidence in and understanding of the principles of reproductive infectious disease (RID), clinical manifestations and sequelae of sexually transmitted infection (STI), and management of serious long-term consequences of STIs. Methods A game show-based curriculum was developed from the basic principles of RID, which include the following: (1) distinguishing between clinical manifestations of STIs and management of long-term sequelae of STIs; (2) evaluation and management of common gynecologic infectious diseases, including chronic vaginitis, pelvic inflammatory disease, and other pelvic infections; (3) diagnosis and management of perinatal infectious diseases, such as parvovirus, varicella-zoster virus, cytomegalovirus, human immunodeficiency virus, toxoplasmosis, and infection-mediated prematurity; (4) evaluation and management of obstetric and gynecologic postoperative infections; and (5) diagnosis and management of acute and chronic human immunodeficiency virus and hepatitis C virus infections in pregnancy. OBGYN residents at a large urban academic training program were randomized to either a Jeopardy-style educational game show intervention plus a traditional didactic-based curriculum or traditional didactic-based curriculum alone. The study team recruited participants by sending out an e-mail to all of the residents, detailing the study and consent process. Participants from both the intervention and control groups completed confidence and knowledge-based pretests. Posttests were administered 4 weeks after completion of the pretests. Statistical methods were applied to analyze the data. Results Thirty-eight residents were randomized to a Jeopardy-style game show-based educational intervention (n = 19) or to a traditional didactic-based curriculum (n = 19). All of the participants (100%) completed the pre-and posttests. Pretest median scores were similar between both groups, in which the Jeopardy group had a median score of 48.5 and the traditional group had a median score of 51.4 (P = 0.091). The Jeopardy group median test scores improved between the pretest and posttest (48.5 vs 62.8, P ≤ 0.001). The traditional didactic-based curriculum had a minimal increase in its median posttest scores (51.4 compared with 54.2, P = 0.773). The Jeopardy group had significantly higher posttest median scores and confidence scores than the traditional didactic-based curriculum (Jeopardy = 62.8, traditional = 54.2, P = 0.002). Conclusions A game show-based curriculum improves OBGYN residents' confidence and retention of knowledge regarding RIDs, clinical manifestations and sequelae of STIs, and management of serious long-term consequences of STIs. Additional studies that include longer posttest time intervals are needed to assess the longer-term impact of game show-based curriculum on knowledge retention among OBGYN residents. © Lippincott Williams & Wilkins.";"00384348";NA;"United States";"Scopus; Web of Science"
"7";"A model of gameful design for learning using interactive tabletops: enactment and evaluation in the socio-emotional education classroom";363;"Ioannou A.,";2019;"Article";"Educational Technology Research and Development";"English";"Case-based learning; Gameful design; Gameful learning; Gamification; Interactive tabletops; Perspective-taking; Socio-emotional education; Technology-enhanced learning";"Building on established pedagogy and technological advancement, this article presents a model of gameful design for learning using interactive tabletops, enacted and evaluated in the context of socio-emotional education. Based on the proposed model, we detail the design of a technology-enhanced learning experience in which a series of traditional lessons are enriched by collaborative work on interactive tabletops; four gameful activities are used which may be directly linked to a school curriculum. We conduct a qualitative case study with the participation of 86 fifth grade students across two elementary schools which have a significant minority enrolment. We demonstrate the ways in which the students draw on recently-acquired knowledge, engage in dramatic play, share the digital space and collaborate intensively to achieve a new and refined understanding of concepts and behaviours linked to perspective-taking. We discuss how tabletops, in synergy with constructivist pedagogy and principles of gameful design, allow researchers and practitioners to promote communication, collaboration and perspective-taking in ways that were hitherto difficult to enact in traditional lessons. Gameful design for learning is seen as a multilevel endeavour, which involves the selection of tasks and tools as well as the behaviour of the learners and the instructor as participants in the learning environment. © 2018, Association for Educational Communications and Technology.";"10421629";11;"Cyprus";"Scopus; Web of Science"
"8";"A qualitative investigation of student perceptions of game elements in a gamified course";596;"Aldemir T., Celik B., Kaplan G.,";2018;"Article";"Computers in Human Behavior";"English";"Design; Game elements; Gamification; Gamified learning experience; Iteration; Teacher education";"As gamification grows in popularity, there has been increased interest in its potential as a motivating and engaging learning strategy. Yet, it is still a controversial issue in education and has received several criticisms. The existing literature suggests that when gamification is designed well and utilized correctly, it has potential to improve learning, but qualitative investigations are required in order to reveal how a wide range of game elements fit into different learning contexts. In order to address this gap, this qualitative study aims to explore students' overall perceptions about various game elements in a gamified instructional technology and material development course within a teacher education context. Based on the data gathered via interviews, observation, and documents (n = 118) for one academic year, the study examines possible impacts of game elements and how they should be designed and implemented from the students’ perspectives. The results yielded nine main themes: challenge, narrative, leaderboard, reward, badge, teams, win-state, points, and constraints. This paper presents the gamification process, iterations made into the game elements, and main features of the game elements in a gamified teacher education course. © 2017 Elsevier Ltd";"07475632";42;"United States";"Scopus; Web of Science"
"9";"A synthesis of systematic review research on emerging learning environments and technologies";88;"Martin F., Dennen V.P., Bonk C.J.,";2020;"Article";"Educational Technology Research and Development";"English";"Emerging learning environments; Emerging technologies; Meta-analysis; Research synthesis; Systematic reviews";"In this introduction to the special issue on systematic reviews on emerging learning environments and technologies, we introduce best practices for conducting systematic reviews and meta-analysis and discuss the need for a systematic review on emerging learning environments and technologies. We synthesize research on seven primary areas of emerging learning environments and technologies that include: (1) social media, (2) massive open online courses, (3) special education technology, (4) mobile learning, (5) game-based learning and gamification, (6) adaptive learning, and (7) learning analytics and introduce the thirteen articles that were included in this special issue. This article also provides implications for the readers on using and conducting systematic reviews. © 2020, Association for Educational Communications and Technology.";"10421629";3;"United States";"Scopus; Web of Science"
"10";"A systematic mapping study of gamification models oriented to motivational characteristics";289;"Dalmina L., Barbosa J.L.V., Vianna H.D.,";2019;"Article";"Behaviour and Information Technology";"English";"gamification; models; motivational characteristics; Systematic mapping";"Context: Gamification focuses on the improvement of users' engagement when performing tasks by making use of game mechanics and elements in order to increase their motivations. Many researches have developed gamification models supporting a variety of motivational characteristics to provide engagement solutions for different areas. Objective: This paper carries out a systematic mapping in the field of gamification, looking for models with motivational characteristics in an attempt to characterise the state of the art of this field, identifying gaps and tendencies for further research. Method: We carried out a systematic mapping aiming at finding the primary studies in the existing literature, which were later classified and analysed according to twelve criteria. Results: We analysed 70 papers that resulted in 17 primary studies, published until September 2016. Most of them focus on Education, making use of Gamification to increase the motivation of a learning process. The gamification mechanics and elements most used were Badges/Achievements and Points/ExperiencePoints(XP), and most of the studies were not validated, thus not providing empirical evidence of the impact of gamification. Conclusions: Existing research in the field is somehow preliminary, and more research effort to analyse the applicability of the models and their respective evaluations would be needed. © 2019, © 2019 Informa UK Limited, trading as Taylor & Francis Group.";"0144929X";10;"Brazil";"Scopus; Web of Science"
