"";"Title";"Authors";"Year";"Document.Type";"Source.Title";"Language";"Authors.Keywords";"Abstract";"ISSN";"Cited.by";"Publisher.Country";"Source"
"1";"Gamification as a motivating and creative axis in pedagogical practice in engineering";"Pedreros, TIM; Hoyos, EZ";2021;"Article";"REVISTA EDUCACION EN INGENIERIA";"Spanish";"Gamification; motivation; creative thinking; learning; engineering";"Since very young children, the game and learning were very close, why not continue doing it?. In the following work, an innovation proposal is established for the implementation of a gamification strategy, allowing new educational practices to be incorporated in the classroom. All this aimed at encouraging the creative process and motivation in students to carry out their activities in a more attractive way. Based on this, an exploration of the different concepts of gamification and how they are applied in education is carried out, finding a diversity of authors who take gamification as a fundamental element to motivate the student to make an appropriate meaningful learning. This is how a gamified strategy is proposed, taking as main theme a film with which students are closely related Avengers, Infinity War, this being the starting point of motivation.";"1900-8260";0;"Colombia";"Web of Science"
"2";"Gamification to avoid cognitive biases: An experiment of gamifying a forecasting course";"Legaki, NZ; Karpouzis, K; Assimakopoulos, V; Hamari, J";2021;"Article";"TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE";"English";"Forecasting; Judgment Bias; Teaching; Gamification; Decision Making; Education";"In their daily lives, people are confronted with situations where they need to form a schema of possible future scenarios and the likelihood of them occurring, be it about climate change, economic up- or downturn, or even the potential success of a romantic date. Be these issues of mundane or universal importance, this judgmental forecasting poses people with a difficult pervasive cognitive challenge. Commonly, judgmental forecasting is taught in forecasting courses syllabi, and the pedagogy surrounding it is challenging. However, gamification and game-based learning have risen as promising tools to simulate different kinds of scenarios and stimulate cognitive problem solving. This study investigates the effects of a gamified application with points, levels, challenges, storytelling and leaderboard for teaching judgmental forecasting by conducting a 2 x 2 between-subjects experiment (treatments: i) read: yes vs no, and ii) gamification: yes vs no), with a sample of 285 students of a School of Electrical and Computer Engineering and a Business Administration Department. The findings indicate that the gamified application improved learning outcomes regarding the heuristics and biases that affect judgmental forecasting by almost 15%, supporting the use of gamification in forecasting education.";"0040-1625";0;"USA";"Web of Science"
"3";"Pharmacy student experience, preference, and perceptions of gaming and game-based learning";"Ng, SF; Dawie, DDSA; Chong, WW; Jamal, JA; Ahman, SNAA; Jamal, JI";2021;"Article";"CURRENTS IN PHARMACY TEACHING AND LEARNING";"English";"Serious games; Pharmacy education; Gamification; Game-based learning; Pharmacy student";"Introduction: The incorporation of serious games in higher education has shown improvement in student engagement and motivation to learn. Research that explores local pharmacy student preferences of gamification aspects of serious games is scarce. Therefore, this study was conducted to investigate local pharmacy student experience, preference, and perceptions of gaming and gamebased learning. Methods: A cross-sectional study was conducted by distributing self-administered questionnaires among pharmacy students in Malaysia. Descriptive statistics, the Mann-Whitney test, the Kruskal-Wallis test, and the Spearman's correlation test were used for analysis. Results: A total of 328 pharmacy students enrolled in this study, and 84.1% (n = 276) had video game experience. Students usually played video games using mobile phones (n = 231, 70%). Pharmacy students showed positive perceptions regarding serious games with a mean score of 3.69. However, limited awareness and knowledge of serious games was observed among pharmacy students. The most preferred game genres were role-playing and strategy (n = 174, 53%). Pharmacy students also preferred playing a cooperative game style (n = 113, 34.5%) with scores as a reward system (n = 204, 62.6%). Over three quarters (n = 292, 89.3%) wanted to see the results of the assessment after the game. Conclusions: This research provided information on serious games preferences of local pharmacy students. Further study should evaluate the acceptance and effectiveness of the implementation of serious games among pharmacy students in Malaysia. (c) 2021 Elsevier Inc. All rights reserved.";"1877-1297";0;"USA";"Web of Science"
"4";"Effects of Gamification on Behavioral Change in Education: A Meta-Analysis";"Kim, J; Castelli, DM";2021;"Review";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH";"English";"gamification; education; behavior change; badges; leaderboard; motivation; meta-analysis";"Background: Gamified reward systems, such as providing digital badges earned for specific accomplishments, are related to student engagement in educational settings. The purpose of this study was to conduct a meta-analytic review to quantify the effects of gamified interventions on student behavioral change. Methods: A meta-analysis was performed using the following databases: The Academic Search Complete, Communication & Mass Media Complete, Education Source, ERIC, Library Information Science & Technology Abstracts, and PsycINFO. Inclusion in the review required: (a) peer-reviewed conducted between 2010 and 2019, (b) experimental controlled design, (c) gamification elements, and (d) educational setting. Results: Using a random-effects model, a statistically significant (Cohen's d (ES) = 0.48, 95% CI = 0.33, 0.62) gamification effect was evidenced by moderate and positive grand effects sizes (ES). Gamification effects were higher with adults in higher education (ES = 0.95) than K-12 students (ES = 0.92). Brief interventions delivered in days or less than 1 week were significantly more effective (ES = 1.57) than interventions lasting up to 20 weeks (ES = 0.30). Interventions incorporating gamification elements across years (ES = -0.20) was adversely associated with behavioral change. Conclusions: Findings suggest that short-term over longer-term gamified interventions might be a promising way to initiate changes in learner's behaviors and improve learning outcome.";NA;0;"Switzerland";"Web of Science"
"5";"The Seneb's Enigma: Impact of a Hybrid Personal and Social Responsibility and Gamification Model-Based Practice on Motivation and Healthy Habits in Physical Education";"Melero-Canas, D; Manzano-Sanchez, D; Navarro-Ardoy, D; Morales-Banos, V; Valero-Valenzuela, A";2021;"Article";"INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH";"English";"physical fitness; physical activity; sedentary time; self-determination theory; afterschool period";"Increasing physical activity (PA) and personal and social values are two of the greatest demands in the current educational system. This study examined the effects of a program based on the hybridization of the Personal and Social Responsibility Model and gamification. A total of 58 students (13.89 years old, SD = 1.14) in two groups (experimental and control) participated during a complete academic year. Motivation, physical activity and sedentary behavior were assessed through questionnaires. Physical fitness was evaluated using previously validated field tests. The results showed significant differences over time between the experimental group (EG) and control group (CG) in afterschool physical activity (APA) during the weekend (p = 0.003), sedentary time (p = 0.04) and speed-agility (p = 0.04). There were no significant differences in motivation. In reference to the intervention, the speed-agility (p = 0.000), strength (p = 0.000), agility (p = 0.000), cardiorespiratory fitness (p = 0.001), APA-weekend (p = 0.000), APA-week (p = 0.000) and sedentary time (p = 0.000) increased significantly in the EG. The speed-agility (p = 0.000), APA-weekend (p = 0.03) and sedentary time (p = 0.008) increased in the CG. The implementation of a program based on the hybridization of pedagogical models can be useful in producing improvements in physical fitness, physical activity and sedentary behaviors.";NA;0;"Switzerland";"Web of Science"
"6";"Interactive Digital Experience as an Alternative Laboratory (IDEAL): Creative Investigation of Forensic Biomechanics";"Troutman, VA; Grimm, MJ";2021;"Article";"JOURNAL OF APPLIED BIOMECHANICS";"English";"education; gamification; active learning";"An Interactive Digital Experience as an Alternative Laboratory (IDEAL) was developed and implemented in a flipped biomechanics classroom. The IDEAL challenge problem was created to more closely simulate a real-world scenario than typical homework or challenge problems. It added a more involved story, specific characters, simple interaction, and student-led inquiry into a challenge problem. Students analyzed musculoskeletal biomechanics data to conduct a forensic biomechanics investigation of an individual who suffered a fracture. Students ultimately approached the IDEAL problem with a greater appreciation and enjoyment than previous open-ended challenge problems-those that were assigned in a traditional problem-statement manner-throughout the semester. Students who were more fully engaged in the IDEAL challenge problem, as evidenced by the fact that they requested all of the evidence on their own, also performed better on the final report grade. This signals improved learning with respect to biomechanical analysis when the students were creatively participating in the storyline surrounding the forensic investigation.";"1065-8483";0;"USA";"Web of Science"
"7";"Gamification of University Subjects: A Case Study for Operations Management";"Montanes-Del Rio, MA; Cornejo, VR; Rodriguez, MR; Ortiz, JS";2021;"Article";"JOURNAL OF INFORMATION TECHNOLOGY RESEARCH";"English";"Gamification; Gamified Education; Kahoot; Motivation; Operations Management";"The masterly lesson, tedious and lacking in motivation for today's university students, provokes a passive attitude from them in the classroom. If they also use their mobile phones to escape from the classroom, the situation seems to get worse. Low attendance rates and poor academic results are some of the consequences of a serious problem: the lack of commitment of students to their learning process. Incorporating elements of games, together with new technologies, may be a possible solution. Thus, in the academic year 2018/2019 the classes of the subject Operations Management II taught throughout the fourth year of Business Administration and Management Degree offered by the University of Cadiz were gamified with Kahoot! The students felt more motivated and their grades improved in comparison to the previous year. In addition, a comparison was made with the results shown in the exams of the academic year after the gamified activity.";"1938-7857";0;"USA";"Web of Science"
"8";"Gamification and active learning in higher education: is it possible to match digital society, academia and students' interests?";"Murillo-Zamorano, LR; Sanchez, JAL; Godoy-Caballero, AL; Munoz, CB";2021;"Article";"INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION";"English";"Gamification; Active learning; Digital society; Skills; Academic achievement; Satisfaction";"This study aims to examine whether it is possible to match digital society, academia and students interests in higher education by testing to what extent the introduction of gamification into active learning setups affects the skills development demanded by the workplace of the digital society of the twenty-first century, the academic achievement standards claimed by the academia, and the satisfaction with the learning process required by the students. Our results provide statistically significant empirical evidence, concluding that the generation of a co-creative and empowered gameful experience that supports students' overall value creation yields to satisfactory active learning setups without any loss of academic achievement, and allowing to develop a series of skills especially relevant for twenty-first century professionals.";"2365-9440";0;"UNITED STATES";"Web of Science"
"9";"Chemical Battleship: Discovering and Learning the Periodic Table Playing a Didactic and Strategic Board Game";"Bernardo, JMM; Gonzalez, AF";2021;"Article";"JOURNAL OF CHEMICAL EDUCATION";"English";"Elementary/Middle School Science; High School/Introductory Chemistry; First-Year Undergraduate/General; Laboratory Equipment/Apparatus; Physical Chemistry; Collaborative/Cooperative Learning; Humor/Puzzles/Games; Atomic Properties/Structure; Nomenclature/Units/Symbols; Periodicity/Periodic Table";"The periodic table is an essential topic in the teaching and learning of science at all education levels, as it contains information about the main physical and chemical properties of the different elements constituting the matter. However, becoming familiar with the facts behind the periodic table such as the element names and/or symbols, their metallic character, their electronegativity, and so on, may seem a tedious and boring task, depending on the approach the teacher uses. One way to stimulate students is through so-called gamification, in which learning occurs as an almost undetected consequence of playing a game. Of course, the game must be designed and prepared in such a way that the game and learning come together. In this work, we present Chemical Battleship, a chemical version of the classic board game Battleship, to learn the main topics contained in the periodic table and identify the common glassware of the lab. Additionally, using this game facilitates presenting the chemistry from a fun approach to certain educational levels. The periodic table itself is used to deploy the fleet, which is actually just labware. The shots must be fired by identifying the chemical element the player wants to fire at, and they must do so by using different properties of the element. Repeating this process, students get soon familiar with the periodic table and the information it contains, as well as with the lab glassware. Chemical Battleship was tested with elementary school students and third-year students in a Primary Education Teacher Degree program. Use of this game had a high acceptance from both groups, awakening students' interest and curiosity in the first group and improving knowledge in the latter group. Students enhanced not only their subjective perception of their knowledge but also what they really know about the periodic table, as reflected in the improvement of their marks.";"0021-9584";0;"USA";"Web of Science"
"10";"MILAGE LEARN plus : A Mobile Learning App to Aid the Students in the Study of Organic Chemistry";"Fonseca, CSC; Zacarias, M; Figueiredo, M";2021;"Article";"JOURNAL OF CHEMICAL EDUCATION";"English";"Organic Chemistry; Second-Year Undergraduate; Computer-Based Learning; Multimedia-Based Learning; Testing/Assessment";"Interactive learning is one of the approaches that is very important to explore in higher education. Chemistry students own smartphones, laptops, and tablets and could use appropriate apps to complement traditional forms of learning. Here we introduce a new app, MILAGE LEARN+, which integrates several teaching strategies, such as mobile learning, autonomous learning, peer review, blended learning, and gamification. These strategies were evaluated by the student users through an electronic survey form containing 15 statements with responses graded on a Likert-type scale. Students rate the usage of novel teaching/learning strategies in the MILAGE LEARN+ app as something very positive. There is a positive correlation between the relative grades obtained using MILAGE LEARN+ and the final exam grades. Thus, in this experience, students with better results in MILAGE LEARN+ also had better results in the final exam.";"0021-9584";0;"USA";"Web of Science"
