"";"Title";"Year";"Source title";"Cited by";"DOI";"Link";"Abstract";"Author Keywords";"Index Keywords";"Language of Original Document";"Document Type";"Open Access";"Source"
"1";"Peculiarities of forming high-demanded soft skills in the educational space of the escape room [Особенности формирования востребованных soft skills в образовательном пространстве квест-комнаты]";2020;"Perspektivy Nauki i Obrazovania";NA;"10.32744/PSE.2020.6.31";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099624914&doi=10.32744%2fPSE.2020.6.31&partnerID=40&md5=156d4383e0c579b332cfe6b8c70e5ef4";"The problem and the aim of the study. Including game elements and digital services into the students' cognitive activity are the current trends in the development of the didactic system. The designing of an interactive escape room as an organizational form of cognition and learning technology is one of the ways of gamification of the digital educational space. The authors investigate the problems of forming the high-demanded competencies through interactive quest games. These competencies are necessary for graduates to solve future professional tasks and for successful socialization. Research methods. The analysis of fundamental scientific works on the problem of gamification in education and the usage of digital resources for forming high-demanded soft skills were used to obtain theoretical generalizations. The escape room was designed using modern interactive technologies. 48 students of specialty 44.03.01 Pedagogical education (31% of boys and 69% of girls) of Vyatka State University, Kirov, were involved in the designing of game areas for educational purposes. At the control stage of the experiment, the G-criterion was used to evaluate the changes in over-professional competencies being formed. Results. The essence of the concept of an escape room has been clarified as a game space fully adapted to a specific story, and each single element of which is designed to respond to one common plot, including thematic tasks. The stages of designing and implementation of the escape room for educational purposes were described: determination of the system of planned results, over-subject competencies; development of the game scenario; reasonable choice of software and hardware support; correlation of the emotional and psychological component with the filling of the interactive educational space. The empirical value of Gemp=3&lt;Gcr=9 (for p=0.01) obtained in the course of the experiment confirms that the shift towards improving the quality of learning after applying the proposed approach is not random. In conclusion, the authors generalized the factors that provide the effective use of interactive resources of escape rooms to form the high-demanded soft skills: taking into account the peculiarities of game mechanics; professional aspirations and interests; students' cognition style; correlation of actually formed soft skills with planned ones, etc. © 2020 LLC Ecological Help. All rights reserved.";"Game space; Gamification; Interaction; Interactivity; Over-professional competences; Professions of the future";"";"English";"Review";"All Open Access, Bronze";"Scopus"
"2";"Conceptualization of serious play in modern sociocultural reality [Концептуализация серьезной игры в современной социокультурной реальности]";2020;"Perspektivy Nauki i Obrazovania";NA;"10.32744/PSE.2020.6.3";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099622973&doi=10.32744%2fPSE.2020.6.3&partnerID=40&md5=498739acfd8190f1670989aaf415e7cd";"In the conditions of transformation of sociocultural reality, its processes, levels, spheres, and new integrative social phenomena emerge, the meaning and role of which in the modern world have yet to be clarified. One of such phenomena is serious play. Traditionally, the playful and the serious, at the intersection of which serious play arises, are positioned as independent and mutually exclusive elements of the social world. We examine what changes in the social reality, in the relations of the playful and the serious, in the position of man in modern social processes make serious play possible and how serious play redetermines the conditions of its occurrence. For this, we used methods of philosophical analysis and hermeneutics: interpretation, conceptualization, comparative analysis. As a theoretical and methodological basis, we used the categorical apparatus of social philosophy, theory of practice, pragmatism, and social epistemology. As a result, we found that serious play is thought of as a social process in the range from an individual to global scale. In serious play, the subject, through the generation of meanings, performs both the production and reproduction of culture in predetermined ontoaxiological bases, and constructs these bases, while realizing the degree of his freedom, responsibility and immersion in the world he creates through his practices. The significance of the results of our research lies in the fact that the concept of serious play at the intersection of serious and game relations reveals the potential of serious play as an element of sociocultural reality. Serious play reflects the level of complexity of modern reality and ensures that a person adapts to the ever-increasing dynamics of this complexity. The trend of gamification registers this in the space of higher education, which causes a change in the role of the university in the modern social world. Serious play redefines the position of a person in the modern, dynamic and individualized social world. For the first time, serious play is conceptualized at the intersection of the playful and the serious as independent and mutually exclusive elements of sociocultural reality and is analyzed in the trend of the gamification of higher education. © 2020 LLC Ecological Help. All rights reserved.";"Concept of game; Concept of serious; Gamification; Huizinga; Seneca; Serious play; Sociocultural reality";"";"English";"Article";"All Open Access, Bronze";"Scopus"
"3";"iPlus a user-centered methodology for serious games design";2020;"Applied Sciences (Switzerland)";NA;"10.3390/app10249007";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097874733&doi=10.3390%2fapp10249007&partnerID=40&md5=180e3317061b831cef4d47d7b314c17c";"Standard video games are applications whose development process often follows a traditional software methodology. Serious Games (SGs) are a tool with an immensely positive impact and great success. SGs enable learning and provide entertainment and self-empowerment, which motivates students. The development of an SG consists of complex processes requiring multi-disciplinary knowledge in multiple domains, including knowing the learning domain and adding the appropriate game mechanics to foster high intrinsic motivation and positive player experience that makes the players feel like they are having fun while learning. Otherwise, the game is viewed as boring and not as a fun and engaging activity. Nevertheless, despite their potential, the application of SGs in education has been limited in terms of pedagogy. Several authors assert that this lack is because SG standards and guidelines have not been developed. There is an imbalance between experts’ contributions to education and game design specialists for the SG development. Not all the SGs that have been developed have applied appropriate design methodologies that incorporate both the entertainment mechanics and the serious component. To ensure that an SG meets the user’s expectations, it must be designed using an appropriate method. This work aims to present iPlus, a methodology for designing SGs based on a participatory, flexible, and user-centered approach. Additionally, this paper analyses several case studies with the iPlus methodology. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.";"Designing methodologies serious games; Educational games; Game-based learning; Gamification; User-centered design";"";"English";"Article";"All Open Access, Gold";"Scopus"
"4";"The effect of challenge-based gamification on learning: An experiment in the context of statistics education";2020;"International Journal of Human Computer Studies";11;"10.1016/j.ijhcs.2020.102496";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086641706&doi=10.1016%2fj.ijhcs.2020.102496&partnerID=40&md5=1610d0eb078b791304d7c814af72d626";"Gamification is increasingly employed in learning environments as a way to increase student motivation and consequent learning outcomes. However, while the research on the effectiveness of gamification in the context of education has been growing, there are blind spots regarding which types of gamification may be suitable for different educational contexts. This study investigates the effects of the challenge-based gamification on learning in the area of statistics education. We developed a gamification approach, called Horses for Courses, which is composed of main game design patterns related to the challenge-based gamification; points, levels, challenges and a leaderboard. Having conducted a 2 (read: yes vs. no) x 2 (gamification: yes vs. no) between-subject experiment, we present a quantitative analysis of the performance of 365 students from two different academic majors: Electrical and Computer Engineering (n=279), and Business Administration (n=86). The results of our experiments show that the challenge-based gamification had a positive impact on student learning compared to traditional teaching methods (compared to having no treatment and treatment involving reading exercises). The effect was larger for females or for students at the School of Electrical and Computer Engineering. © 2020 The Authors";"Applications in education; Gamification; Human-Computer interface; Statistics education; Teaching forecasting";"Computer aided instruction; Curricula; Gamification; Teaching; Business administration; Educational context; Electrical and computer engineering; Learning environments; Statistics educations; Student motivation; Subject experiment; Teaching methods; Students";"English";"Article";"All Open Access, Hybrid Gold, Green";"Scopus"
"5";"Towards a motivational design? Connecting gamification user types and online learning activities";2020;"Research and Practice in Technology Enhanced Learning";11;"10.1186/s41039-019-0121-4";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077695168&doi=10.1186%2fs41039-019-0121-4&partnerID=40&md5=8ed91ba94be8321c3c88011ca35bf63f";"Motivation is a crucial factor for students’ learning behavior and plays a key role in the concept of gamification to foster students’ motivation through specific gamification mechanics and elements. User types for gamification and associated gamification mechanics can classify students’ interests and learning preferences and provide explanations for their motivational learning behavior. This study investigated how five gamification user types may relate to six mainly used online learning activities in a distance online bachelor’s and master’s class in educational science through the use of a systematic approach. A total of 86 students participated in the questionnaire in a cross-sectional study. The findings showed average agreement shares for all five gamification user types. The correlations revealed that the six online learning activities were at least significantly connected to one of the five gamification user types, and both person-centered and environment-centered perspectives were displayed. Finally, the results were discussed, and implications were derived for a motivational design. © 2020, The Author(s).";"Distance education; Gamification; Motivation; Motivational design";"";"English";"Article";"All Open Access, Gold";"Scopus"
"6";"The possibilities of gamifying the mathematical curriculum in the early childhood education stage";2020;"Mathematics";1;"10.3390/math8122215";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097905361&doi=10.3390%2fmath8122215&partnerID=40&md5=6785b60abd644f1a5be95a5e0096aec2";"The addition of gamification to the classroom as a methodological tool means that the teacher’s opinion about this has become an inflection point that can affect its use or not in the classroom. In this sense, the main objective of the present article is to explore the opinion of future Early Childhood education teachers on the use of this resource for the development of the mathematics curriculum at this education stage and to obtain an explanatory model that explains it. The design of the study utilized a descriptive perspective and a cross-sectional quantitative focus through a quantitative exploratory study. For data collection, an ad hoc questionnaire was utilized, which was administered to a sample of 232 teachers-in-training. The main result obtained was that the future early childhood education professionals considered that gamification could be a resource for the learning of specific mathematics contents, and this was shaped around a model of two elements. On one hand, the development of mathematical thinking, and on the other, the establishment of relationships between mathematical concepts. Lastly, we can conclude that elements such as age or gender do not determine the perception of the use of gamification in the early childhood education classroom. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.";"Early childhood education; Gamification; Mathematics; Videogame";"";"English";"Article";"All Open Access, Gold, Green";"Scopus"
"7";"Investigating the potential for using gamification to empower knowledge workers";2020;"Expert Systems with Applications";2;"10.1016/j.eswa.2020.113694";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088127062&doi=10.1016%2fj.eswa.2020.113694&partnerID=40&md5=9e7e326d34a793a99cd4f48b2f09391b";"The increasingly popular trend of gamification has proved powerful in many areas, such as education and marketing, and has started making its way to the corporate environment. This exploratory study is focused on a particular part of corporate applications – using gamification to empower knowledge workers and to help them to interact with each other. Based on a review of the extant literature and an exploratory case study, we conceptualise different ways in which gamification supports knowledge workers and influences the dynamics of their interactions. The case study we present is that of online retailer Zappos who have been pioneers in this field. This paper is intended as the beginning of a journey towards utilising gamification in various aspects of knowledge work. Through studying the Zappos case, we draw out key learning points that can be used by other organisations in their journey to use gamification to empower knowledge workers. The paper also identifies areas for further research relevant to expert and intelligent systems, including the potential for synergies between gamification and intelligent systems, and the use of gamification in intelligent systems implementation. © 2020 Elsevier Ltd";"Gamification; Knowledge management; Knowledge sharing; Knowledge workers";"Intelligent systems; Knowledge management; Corporate environment; Exploratory case studies; Exploratory studies; Knowledge work; Knowledge workers; Systems implementation; Gamification";"English";"Article";"";"Scopus"
"8";"Is classroom gamification opposed to performance?";2020;"Sustainability (Switzerland)";1;"10.3390/su12239958";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096850059&doi=10.3390%2fsu12239958&partnerID=40&md5=a701ab225a2cad2ec4721d57aedc0596";"Learning through digital media is currently considered as a mixture of methodologies that aim to approach the reality of students to motivate them. Gamification emerges as one of the pedagogical methodologies on the rise in digital classrooms, but is it really practical? What are its effects? A gamification longitudinal case-study experience was carried out in the subject: complements for disciplinary training in technology of the master’s degree of secondary school teachers (technology specialty) that is taught at the Universitat Politècnica de Catalunya, where gamified activities and alternatives to traditional master teaching have been introduced in a progressive way throughout three academic years (2016/17 to 2018/19). The results show that there is a negative correlation between the numerical scores of the different components of the evaluation and the marks obtained in the activities of gamification. It is surprising that the group less involved in the gamification obtained better academic results, although gamification improved the motivation and the valuations of the subject, due to the inclusion of more games in the course. This raises doubts on whether the positive effects of gamification on the climate of the classroom and on motivation are opposed to academic results. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.";"Game-based learning; Gamification; Mobile learning; Motivation; Teaching methodology";"academic performance; correlation; higher education; numerical method; teaching; training; university sector; Catalonia; Spain";"English";"Article";"All Open Access, Gold, Green";"Scopus"
"9";"The impact of gamification on students’ learning, engagement and behavior based on their personality traits";2020;"Smart Learning Environments";7;"10.1186/s40561-019-0098-x";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084064118&doi=10.1186%2fs40561-019-0098-x&partnerID=40&md5=ed84d25bb04b774e47ff8015326df762";"The gamification of education can enhance levels of students’ engagement similar to what games can do, to improve their particular skills and optimize their learning. On the other hand, scientific studies have shown adverse outcomes based on the user’s preferences. The link among the user’s characteristics, executed actions, and the game elements is still an open question. Aiming to find some insights for this issue, we have investigated the effects of gamification on students’ learning, behavior, and engagement based on their personality traits in a web-based programming learning environment. We have conducted an experiment for four months with 40 undergraduate students of first-year courses on programming. Students were randomly assigned to one of the two versions of the programming learning environment: a gamified version composed of ranking, points, and badges and the original non-gamified version. We have found evidence that gamification affected users in distinct ways based on their personality traits. Our results indicate that the effect of gamification depends on the specific characteristics of users. First part title: Studying the impact of gamification on learning and engagement based on the personality traits of students © 2020, Smiderle et al.";"Gamification; Personality; Programming Environment";"";"English";"Article";"All Open Access, Gold";"Scopus"
"10";"Gamification: a new key for enhancing engagement in MOOCs on energy?";2020;"International Journal on Interactive Design and Manufacturing";1;"10.1007/s12008-020-00701-9";"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091434516&doi=10.1007%2fs12008-020-00701-9&partnerID=40&md5=477c5fee2d95e82e057bbf9548766176";"Gamification is an innovative educational strategy that uses elements of games for educational purposes, including the completion of appealing challenges to increase student levels of engagement and learning. The objective of this research is to assess the effects of gamification as a teaching method used in a Massive Open Online Course (MOOC) about clean and conventional energy. This research is part of the project “Laboratorio Binacional para la Gestión Inteligente de la Sustentabilidad Energética y la Formación Tecnológica” [Binational Laboratory for the Intelligent Management of Sustainable Energy and Technological Formation]. A total of 4819 participants enrolled in the course, 621 passed the course, and 647 completed the gamified challenge. Results show the impact of gamification on the cognitive, social, and emotional dimensions, where more than 90% of the participants agreed about feeling more motivated and challenged than when using traditional teaching methods. Therefore, the use of this methodology in online teaching could be very impactful in personalizing and enhancing the learning opportunities of massive, open online courses. © 2020, Springer-Verlag France SAS, part of Springer Nature.";"Educational innovation; Engagement; Gamification; Higher education; XMOOC";"Gamification; Teaching; Educational strategy; Emotional dimensions; Intelligent management; Learning opportunity; Massive open online course; Open online course; Sustainable energy; Teaching methods; E-learning";"English";"Article";"";"Scopus"
